route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00005,N,00005_B_N_1506,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_1055,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_0522,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2234,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1535,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2109,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1250,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1138,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0842,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1415,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_2018,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0720,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1855,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1016,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1619,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0700,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1523,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1034,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_2009,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_A_N_1914,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1802,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_0709,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1349,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_0818,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_0546,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1949,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_0815,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1426,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1316,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1255,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
